Character Name,Movie Title,Role,Viewer Sentiment,Screen Time (Minutes),Scene Appearances
Luke Skywalker,Star Wars,Protagonist,11,76,9
Darth Vader,Star Wars,Antagonist,56,91,5
Leia Organa,Star Wars,Supporting,58,93,20
Han Solo,Star Wars,Protagonist,34,32,15
Yoda,Star Wars,Mentor,81,21,5
Obi-Wan Kenobi,Star Wars,Mentor,12,41,18
Palpatine,Star Wars,Antagonist,2,87,24
Chewbacca,Star Wars,Supporting,13,100,7
R2-D2,Star Wars,Comic Relief,21,118,29
C-3PO,Star Wars,Comic Relief,52,34,23
Kylo Ren,Star Wars,Antagonist,56,31,18
Rey,Star Wars,Protagonist,62,69,28
Simba,The Lion King,Protagonist,51,26,25
Scar,The Lion King,Antagonist,55,90,29
Mufasa,The Lion King,Mentor,37,105,6
Ariel,The Little Mermaid,Protagonist,48,38,22
Ursula,The Little Mermaid,Antagonist,97,97,23
Elsa,Frozen,Protagonist,84,111,5
Anna,Frozen,Protagonist,8,107,11
Olaf,Frozen,Comic Relief,59,21,13
Kristoff,Frozen,Supporting,68,50,27
Moana,Moana,Protagonist,66,71,27
Maui,Moana,Supporting,67,12,15
Tamatoa,Moana,Antagonist,48,26,6
DynamicCharacter_1,The Lion King,Comic Relief,34,86,8
DynamicCharacter_2,The Lion King,Antagonist,26,12,13
DynamicCharacter_3,Beauty and the Beast,Mentor,53,109,17
DynamicCharacter_4,Beauty and the Beast,Protagonist,54,23,16
DynamicCharacter_5,The Lion King,Supporting,40,83,5
DynamicCharacter_6,Star Wars,Antagonist,14,46,17
DynamicCharacter_7,The Lion King,Mentor,94,13,17
DynamicCharacter_8,Frozen,Protagonist,23,29,26
DynamicCharacter_9,Star Wars,Protagonist,6,62,19
DynamicCharacter_10,The Lion King,Protagonist,10,98,19
DynamicCharacter_11,Star Wars,Supporting,44,29,18
DynamicCharacter_12,Moana,Comic Relief,41,118,23
DynamicCharacter_13,The Lion King,Comic Relief,100,99,28
DynamicCharacter_14,Moana,Protagonist,38,88,20
DynamicCharacter_15,Beauty and the Beast,Protagonist,70,31,29
DynamicCharacter_16,Star Wars,Supporting,74,36,11
DynamicCharacter_17,Star Wars,Antagonist,82,26,13
DynamicCharacter_18,Moana,Supporting,97,43,9
DynamicCharacter_19,Frozen,Protagonist,45,114,8
DynamicCharacter_20,Beauty and the Beast,Mentor,30,32,7
DynamicCharacter_21,Beauty and the Beast,Supporting,88,31,9
DynamicCharacter_22,Beauty and the Beast,Mentor,21,93,6
DynamicCharacter_23,Beauty and the Beast,Mentor,15,37,28
DynamicCharacter_24,Star Wars,Mentor,94,20,29
DynamicCharacter_25,Frozen,Mentor,26,82,7
DynamicCharacter_26,Frozen,Protagonist,42,52,10
DynamicCharacter_27,Beauty and the Beast,Protagonist,91,53,8
DynamicCharacter_28,The Lion King,Antagonist,12,105,14
DynamicCharacter_29,Moana,Antagonist,12,82,9
DynamicCharacter_30,Frozen,Antagonist,35,50,11
DynamicCharacter_31,Frozen,Mentor,49,29,13
DynamicCharacter_32,Frozen,Antagonist,43,91,19
DynamicCharacter_33,The Lion King,Antagonist,51,58,25
DynamicCharacter_34,Beauty and the Beast,Mentor,76,22,27
DynamicCharacter_35,Frozen,Protagonist,42,68,25
DynamicCharacter_36,Beauty and the Beast,Mentor,7,34,13
DynamicCharacter_37,Moana,Protagonist,59,51,5
DynamicCharacter_38,Frozen,Protagonist,74,109,24
DynamicCharacter_39,Frozen,Mentor,26,64,19
DynamicCharacter_40,Beauty and the Beast,Supporting,79,54,24
DynamicCharacter_41,Beauty and the Beast,Antagonist,42,96,29
DynamicCharacter_42,Moana,Mentor,1,92,16
DynamicCharacter_43,Moana,Protagonist,39,37,23
DynamicCharacter_44,Beauty and the Beast,Supporting,82,17,20
DynamicCharacter_45,The Lion King,Supporting,42,111,20
DynamicCharacter_46,Beauty and the Beast,Antagonist,70,20,27
DynamicCharacter_47,Star Wars,Mentor,23,55,6
DynamicCharacter_48,Star Wars,Antagonist,2,87,19
DynamicCharacter_49,Moana,Protagonist,71,90,20
DynamicCharacter_50,Beauty and the Beast,Supporting,14,117,25
DynamicCharacter_51,The Lion King,Supporting,73,65,8
DynamicCharacter_52,Moana,Mentor,49,39,15
DynamicCharacter_53,The Lion King,Antagonist,98,46,9
DynamicCharacter_54,Moana,Protagonist,22,26,7
DynamicCharacter_55,Beauty and the Beast,Comic Relief,39,38,20
DynamicCharacter_56,Star Wars,Comic Relief,74,112,21
DynamicCharacter_57,The Lion King,Comic Relief,95,29,5
DynamicCharacter_58,Frozen,Protagonist,94,29,10
DynamicCharacter_59,The Lion King,Comic Relief,94,24,29
DynamicCharacter_60,Beauty and the Beast,Antagonist,25,71,9
DynamicCharacter_61,Star Wars,Comic Relief,82,60,9
DynamicCharacter_62,Star Wars,Mentor,8,12,25
DynamicCharacter_63,Star Wars,Mentor,34,117,28
DynamicCharacter_64,Beauty and the Beast,Comic Relief,87,89,10
DynamicCharacter_65,Star Wars,Antagonist,22,90,9
DynamicCharacter_66,The Lion King,Supporting,94,52,24
DynamicCharacter_67,The Lion King,Protagonist,82,70,22
DynamicCharacter_68,Frozen,Supporting,75,36,14
DynamicCharacter_69,Star Wars,Mentor,72,80,9
DynamicCharacter_70,The Lion King,Supporting,25,93,16
DynamicCharacter_71,Star Wars,Comic Relief,76,31,14
DynamicCharacter_72,Moana,Antagonist,61,51,5
DynamicCharacter_73,Star Wars,Protagonist,33,99,13
DynamicCharacter_74,Moana,Protagonist,68,25,9
DynamicCharacter_75,The Lion King,Comic Relief,44,48,13
DynamicCharacter_76,Moana,Mentor,77,63,25
DynamicCharacter_77,Frozen,Supporting,33,55,26
DynamicCharacter_78,Moana,Mentor,82,100,20
DynamicCharacter_79,The Lion King,Comic Relief,63,17,22
DynamicCharacter_80,Beauty and the Beast,Antagonist,19,85,14
DynamicCharacter_81,Star Wars,Comic Relief,13,103,22
DynamicCharacter_82,Frozen,Comic Relief,42,32,7
DynamicCharacter_83,The Lion King,Supporting,54,23,18
DynamicCharacter_84,Beauty and the Beast,Comic Relief,14,88,17
DynamicCharacter_85,Frozen,Comic Relief,6,53,18
DynamicCharacter_86,Beauty and the Beast,Antagonist,58,97,29
DynamicCharacter_87,The Lion King,Protagonist,54,45,20
DynamicCharacter_88,The Lion King,Protagonist,67,84,22
DynamicCharacter_89,Star Wars,Comic Relief,19,115,28
DynamicCharacter_90,Frozen,Antagonist,91,33,18
DynamicCharacter_91,The Lion King,Mentor,99,27,29
DynamicCharacter_92,Beauty and the Beast,Supporting,30,57,19
DynamicCharacter_93,Moana,Supporting,93,46,28
DynamicCharacter_94,Star Wars,Antagonist,36,33,20
DynamicCharacter_95,The Lion King,Antagonist,4,53,16
DynamicCharacter_96,Star Wars,Antagonist,4,78,26
DynamicCharacter_97,Beauty and the Beast,Antagonist,75,64,24
DynamicCharacter_98,Star Wars,Supporting,79,76,29
DynamicCharacter_99,Moana,Comic Relief,32,105,21
DynamicCharacter_100,The Lion King,Protagonist,40,17,17
DynamicCharacter_101,Moana,Comic Relief,38,106,14
DynamicCharacter_102,The Lion King,Mentor,49,40,6
DynamicCharacter_103,Moana,Mentor,74,24,24
DynamicCharacter_104,Star Wars,Mentor,87,47,6
DynamicCharacter_105,Moana,Antagonist,12,83,24
